l_english:
 PROV1:0 "Itanleiera"
 PROV2:0 "Deckanpetra"
 PROV3:0 "Noto"
 PROV4:0 "Kaga"
 PROV5:0 "Dimakrtiri"
 PROV6:0 "Echizen"
 PROV7:0 "Kai"
 PROV8:0 "Imblepreon"
 PROV9:0 "Mino"
 PROV10:0 "Tango"
 PROV11:0 "Shima"
 PROV12:0 "Eleuasitrias"
 PROV13:0 "Nymphgoresmos"
 PROV14:0 "Hemeempina"
 PROV15:0 "Olymleibeios"
 PROV16:0 "Mischacum"
 PROV17:0 "Kallioldos"
 PROV18:0 "Malberion"
 PROV19:0 "Lapitchalcios"
 PROV20:0 "Cheheae"
 PROV21:0 "Kozuke"
 PROV22:0 "Caryidalios"
 PROV23:0 "Kanicalous"
 PROV24:0 "Marmaerythaea"
 PROV25:0 "Kycyrai"
 PROV26:0 "Aphimaronmos"
 PROV27:0 "Kamaelatalous"
 PROV28:0 "Goopusalous"
 PROV29:0 "Chylaodion"
 PROV30:0 "Aigosolbiion"
 PROV31:0 "Kehalioli"
 PROV32:0 "Lekhcleouf"
 PROV33:0 "Amaropusai"
 PROV34:0 "Nyskasthena"
 PROV35:0 "Marlariion"
 PROV36:0 "Ascalyion"
 PROV37:0 "Beragrinthera"
 PROV38:0 "Cleodeceium"
 PROV39:0 "Ereacanatrea"
 PROV40:0 "Orinicai"
 PROV41:0 "Shinano"
 PROV42:0 "Lamkeplia"
 PROV43:0 "Amalekhaera"
 PROV44:0 "Ankoenium"
 PROV45:0 "Oenmegaida"
 PROV46:0 "Metaepieia"
 PROV47:0 "Metapomoissa"
 PROV48:0 "Hagimillila"
 PROV49:0 "Kallioresinon"
 PROV50:0 "Bythmilesmos"
 PROV51:0 "Linamphium"
 PROV52:0 "Nirmainon"
 PROV53:0 "Methohyyra"
 PROV54:0 "Iakerkalous"
 PROV55:0 "Erythmaissa"
 PROV56:0 "Kasmhellia"
 PROV57:0 "Mesemoresdos"
 PROV58:0 "Gyrthikatathrae"
 PROV59:0 "Maronmagnethrae"
 PROV60:0 "Keramarytiri"
 PROV61:0 "Magnkameiresmos"
 PROV62:0 "Hida"
 PROV63:0 "Nemamithos"
 PROV64:0 "Malladramthena"
 PROV65:0 "Niaeubera"
 PROV66:0 "Knosgythinda"
 PROV67:0 "Lemocera"
 PROV68:0 "Aegdemetoas"
 PROV69:0 "Amimarathon"
 PROV70:0 "Kourchalaea"
 PROV71:0 "Imbrmonoastcum"
 PROV72:0 "Eretoethos"
 PROV73:0 "Kyreargtiri"
 PROV74:0 "Antilocrea"
 PROV75:0 "Argleontdia"
 PROV76:0 "Aphiolbera"
 PROV77:0 "Eryelera"
 PROV78:0 "Marooltes"
 PROV79:0 "Mallcebreia"
 PROV80:0 "Echigo"
 PROV81:0 "Hierkerkinnes"
 PROV82:0 "Bhyrtoendos"
 PROV83:0 "Izu"
 PROV84:0 "Antiplelia"
 PROV85:0 "Shimotsuke"
 PROV86:0 "Hitachi"
 PROV87:0 "Shimosa"
 PROV88:0 "Musashi"
 PROV89:0 "Sagami"
 PROV90:0 "Kazusa"
 PROV91:0 "Suruga"
 PROV92:0 "Bybasine"
 PROV93:0 "Colempopetra"
 PROV94:0 "Odkooas"
 PROV95:0 "Odesempordia"
 PROV96:0 "Etchu"
 PROV97:0 "Gelindlia"
 PROV98:0 "Fukushima"
 PROV99:0 "Kaiopsos"
 PROV100:0 "Akita"
 PROV101:0 "Yamagata"
 PROV102:0 "Cleimtiri"
